user_id,products,reviews
2058824,63,20
2106284,54,12
2176624,132,18
2185065,79,19
2223211,102,19
2344432,85,10
2385959,44,16
2415538,46,11
2425163,56,17
2462444,620,22
2487572,89,33
2562006,134,13
2579961,24,11
2643505,53,29
2708150,30,11
2719979,73,36
2724304,522,24
2724788,213,14
2731143,32,15
2843874,94,17
2973011,110,13
3003004,339,78
3160145,111,34
3213950,42,13
3219636,106,17
3317968,227,23
3412785,140,13
3451295,77,25
3464692,11,16
3465534,56,10
3570691,179,13
3580279,60,50
3589245,216,20
3608856,78,10
3642470,71,13
3677179,64,10
3704226,49,12
3713097,98,10
3739457,43,14
3774389,44,19
3793257,20,18
3845788,48,10
3895836,47,27
3920834,113,11
3934784,54,13
3937159,29,11
3944487,95,10
3988688,31,10
4037140,145,10
4074597,26,12
4147766,39,18
4179379,72,17
4259983,78,35
4575477,85,14
8205540,373,24
9716823,524,20
11354019,333,104
516397,1588,30
829616,459,51
1308685,382,28
2635229,425,45
3733770,426,42
5454279,522,31
6069819,5635,61
6210946,641,104
6608416,427,33
6825400,777,41
7419307,395,15
7667389,282,79
7769117,773,72
7908569,252,61
7959429,1350,136
8425884,1488,43
8475270,188,26
8806187,254,23
8907484,589,125
9706159,1234,20
10131543,342,105
10345550,605,36
10560614,1490,67
10778061,459,26
11169177,100,38
11212625,190,43
11294557,215,35
11295399,477,51
11310842,358,48
11323635,729,106
11330370,2499,131
11339511,667,13
11416916,381,14
11502908,774,51
11555906,1242,185
11569932,1364,23
11621080,316,12
11625878,422,47
11626093,989,62
11720485,284,81
11776686,642,16
11835303,1237,61
11939597,3147,121
11956891,57,19
11976821,528,26
11983338,348,37
11992996,192,28
12020477,650,85
12036988,899,103
12090416,141,30
12121708,2166,151
12146361,1656,60
12147276,281,55
12159930,300,23
12194014,1295,58
12517357,916,24
12578765,1311,49
13091603,751,124
13198679,1608,62
13355312,1405,97
13553369,165,14
13631161,324,47
13671173,2174,81
13716286,348,108
13812564,146,23
13853983,576,14
13971793,107,31
13976434,577,44
13980407,770,39
14002116,220,49
14123322,177,24
14257562,239,28
14260222,1867,120
14306011,380,23
170284,838,26
321413,1209,47
487724,48,33
657377,735,245
756167,378,92
989874,357,34
1003731,817,18
1099669,239,39
1252267,841,70
1273231,463,34
1426803,300,54
1526043,314,27
1726463,354,45
1799828,1133,46
1942517,171,73
1987522,125,34
2032724,4988,204
2322948,264,22
2902779,477,77
3083370,354,221
3307133,411,23
3447730,117,40
3516135,432,98
3974826,177,21
3987727,962,37
4077519,285,41
4113922,310,33
4189443,202,14
4255948,26,73
4302914,1071,104
4306579,268,48
4341755,611,45
4351082,280,20
4400713,487,24
4472895,423,78
4657365,131,18
4811148,318,20
4904946,186,45
4911085,262,29
5019855,831,39
5050517,92,37
5076219,617,54
5093747,196,18
5167608,239,17
5205658,276,33
5251453,149,15
5275273,716,25
5302634,91,17
5394533,126,35
5411779,167,23
5467572,193,16
5477457,295,12
5512121,263,23
5678578,186,49
5715973,279,22
5755065,2928,156
5779221,131,50
5857265,597,37
5869366,798,24
5878108,69,10
5910104,121,39
5910962,102,29
5964727,279,74
6110099,99,27
6242782,51,35
6260490,444,42
6270357,41,20
6278567,410,35
6299693,216,34
6324285,339,32
6360333,283,47
6380920,212,150
6410714,120,55
6467819,304,118
6492754,133,20
6522181,83,77
6543906,82,20
6642961,81,44
6657891,283,48
6658272,192,39
6714107,109,17
6736968,228,86
6749402,328,190
6774072,143,14
6788566,199,19
6806503,103,20
6825668,684,149
6847191,249,64
7051419,828,46
7065368,277,45
7102238,301,19
7127444,72,17
7156409,276,35
7172526,336,106
7218261,61,12
7268624,49,32
7274273,130,12
7352976,185,37
7391097,157,33
7444264,205,28
7476263,273,15
7486438,952,455
7568616,355,24
7569333,99,29
7586681,158,36
7619042,2107,136
7659582,121,17
7671232,114,10
7687800,100,14
7719926,228,14
7738640,2619,34
7763765,64,13
7792528,166,26
7795680,117,12
7883946,251,123
7900102,259,55
7977978,1632,42
8039625,2996,113
8091734,340,73
8092853,3757,84
8291910,935,112
8336899,92,40
8368386,142,46
8441385,1694,81
8447394,141,44
8505732,54,20
8639271,77,12
8712935,127,60
8819917,207,35
8821028,45,14
8821325,27,11
8853644,167,11
8857984,181,17
8874814,190,71
8877863,1452,34
8896352,51,14
8908769,324,28
8918395,161,43
8950883,178,26
8969318,968,41
8971358,37,10
8974809,177,24
8992727,103,16
9026884,128,17
9027265,41,22
9069628,173,39
9146785,1135,17
9187534,273,14
9296158,94,20
9479364,328,72
9480554,1871,105
9529283,142,30
9663744,135,12
9665431,1179,28
9668540,43,19
9704574,761,27
9826708,370,27
9841667,219,14
9886553,70,24
10040224,50,20
10143445,142,14
10185802,524,32
10278809,164,18
10347954,188,30
10406130,204,29
10427076,496,78
10427879,144,22
10439201,85,15
10475565,1433,89
10527370,364,133
10591225,102,21
10669028,79,24
10673459,60,17
10763616,149,31
10766456,285,17
10774201,84,30
10794434,228,43
10795935,673,24
10803604,32,10
10851984,273,149
10958436,94,30
10979145,160,39
11016237,106,14
11029658,141,25
12238662,69,15
12281239,99,36
12288426,29,17
12399064,81,17
12525253,92,11
12528635,86,25
12549105,192,44
12595144,141,28
12764925,13,11
12815098,53,13
12842854,56,28
12845702,88,13
12883320,128,26
12887216,177,19
12907512,185,35
12941655,604,107
12947282,208,26
12968072,56,21
13003319,85,13
13016948,281,39
13035046,40,13
13085200,1831,111
13124178,40,11
13145482,78,15
13261859,62,30
13270709,62,34
13462659,171,31
13501748,927,46
13561006,81,11
13589682,244,51
13599287,162,14
13603328,42,24
13610760,133,44
13611198,501,19
13634016,103,28
13664986,41,17
13717345,213,20
13765205,53,21
13775161,72,17
13804293,74,19
13840977,28,14
13845100,171,27
14142875,163,10
14217269,153,11
14264978,76,24
14270861,66,18
37992,272,52
61015,80,21
78453,115,19
128566,101,21
215570,236,39
218971,224,43
221048,92,34
357985,92,43
437066,194,70
525145,88,40
576158,69,24
602027,35,15
704361,25,11
750078,33,13
754194,79,14
901419,78,15
903524,158,65
942163,107,32
947110,88,20
1079909,86,20
1139440,96,16
1174672,147,29
1206139,108,53
1277856,19,23
1281608,49,76
1290874,94,16
1373806,79,22
1402751,88,18
1408582,737,20
1443638,59,17
1444651,131,68
1478028,86,13
1491441,80,11
1535935,12,12
1536809,84,43
1578917,66,20
1738581,158,20
1840036,42,42
1844009,51,12
1850879,48,14
1857280,60,25
1878608,56,12
1961757,62,10
1961974,60,18
1980757,203,21
2039991,128,13
2077532,48,16
2124465,38,14
2185444,88,17
2207844,50,21
2214776,35,16
2219056,43,20
2243017,91,26
2251877,312,26
2253149,114,20
2253811,130,20
2265280,50,10
2322824,31,19
